                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.41342,                0.32536,                 1.0212,                0.99864,                      1,                  0.995,                 0.8874,                0.44023,                0.28572,                 1.0162,              0.0002972,              0.0002972,              0.0002972
                     89,                0.43026,                0.32323,                 1.0078,                0.99865,                      1,                  0.995,                0.88376,                0.44384,                0.28479,                 1.0217,              0.0002774,              0.0002774,              0.0002774
                     90,                0.39543,                0.32176,                0.99396,                0.99865,                      1,                  0.995,                0.87393,                0.48373,                0.28366,                 1.0578,              0.0002576,              0.0002576,              0.0002576
                     91,                0.36426,                0.36852,                0.94887,                0.99867,                      1,                  0.995,                0.88556,                0.48113,                0.29087,                 1.0585,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.3357,                0.32217,                 1.0144,                0.99864,                      1,                  0.995,                0.88234,                0.44018,                0.29703,                 1.0245,               0.000218,               0.000218,               0.000218
                     93,                0.31253,                0.30632,                0.89166,                0.99865,                      1,                  0.995,                 0.8844,                0.43472,                0.30125,                 1.0194,              0.0001982,              0.0001982,              0.0001982
                     94,                0.34636,                0.31815,                0.94436,                0.99864,                      1,                  0.995,                0.88789,                0.43349,                 0.3017,                 1.0157,              0.0001784,              0.0001784,              0.0001784
                     95,                0.27727,                0.29937,                0.89727,                0.99864,                      1,                  0.995,                0.89135,                0.45576,                0.30474,                 1.0306,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.2808,                0.27883,                0.90792,                0.99868,                      1,                  0.995,                0.89138,                0.47083,                0.30564,                 1.0446,              0.0001388,              0.0001388,              0.0001388
                     97,                0.27386,                0.26743,                0.87446,                0.99867,                      1,                  0.995,                0.89066,                0.46665,                0.31057,                 1.0421,               0.000119,               0.000119,               0.000119
                     98,                0.26166,                0.25407,                0.89577,                 0.9987,                      1,                  0.995,                0.89235,                 0.4487,                 0.3053,                 1.0275,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.29955,                0.29084,                0.94465,                 0.9987,                      1,                  0.995,                0.88779,                0.43775,                0.29888,                 1.0219,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.26423,                0.27073,                0.91387,                0.99869,                      1,                  0.995,                0.89276,                0.43377,                0.30172,                 1.0195,               5.96e-05,               5.96e-05,               5.96e-05
